sample_id,aspect,text,true_sentiment,pred_sentiment,error_type,frequency
1365.0,Battery,"mua máy phải đổi lần 2 mới tạm ổn, máy chạy chậm lắm mặc dù cấu hình cao (như ảo ấy), lỗ sạc là sử dụng đầu sạc cũ trước cả đầu c á, sạc pin vào rất lâu. thôi sử dụng tạm để học tập. cửa hàng thì phục vụ cực kì nhiệt tình, giao hàng cũng nhanh nhẹn, gói hàng cũng kỹ, có phiếu bảo hành.",Negative,Positive,Negative -> Positive,29
141.0,Battery,"Màu sắc: đen 
Phân loại: likenew 99% sau hơn 20 ngày sử dụng đây là một số lưu ý. Dành cho mọi người nếu quyết định mua máy này mọi tính năng về mạng xã hội tốt nghe gọi tốt ngày đầu tiên mới mua ấy nó sẽ bị hơi lag nhưng mà sử dụng hơn một tuần nó sẽ tối ưu sẽ mượt. Còn về phần chơi game nếu như chơi liên quân bật mắc nó sẽ hơi ấm nhẹ thôi. Còn về phần pin chơi game nếu mà chơi liên tục thì cũng từ 4 đến 5 tiếng. Còn về phần ngoại hình của máy thì trong thời gian mình sử dụng có một vấn đề nho nhỏ nhưng mà cửa hàng cũng đã hỗ trợ giải quyết xong nhưng mà tính thêm phí của mình nên mình bớt đi một sao còn về phần máy thì mọi người mua về giải trí chụp ảnh tốt không có vấn đề gì hết tốt trong tầm giá so với iphone xs max hoặc iphone 11 thường thì nó đáng giá hơn mọi người mua về nghe gọi mạng xã hội chụp ảnh thì hết bài rồi",Negative,Positive,Negative -> Positive,29
868.0,Battery,"Tính năng nổi bật: 4g 
Chất lượng sản phẩm: loa trong nghe rõ 
Đúng với mô tả: y chang có game facebook đầy đủ, chụp ảnh như hồi xưa,pin lâu hết",Positive,Negative,Positive -> Negative,28
380.0,Battery,Review sau vài cập nhật máy vẫn còn lỗi app hay lag. Pin vẫn ổn nhưng hiệu năng nhiều khi treo. Đóng gói tốt nhưng vận chuyển lâu. Chăm sóc khách hàng mất thời gian không chịu trách nhiệm rõ ràng,Positive,Negative,Positive -> Negative,28
966.0,Battery,Uầy cửa hàng gửi cho con máy gần đẹp keng luôn. Nhắn cửa hàng không thích bản docomo cửa hàng gửi cho bản au còn cài sẵn rom qt không app rác luôn. Pin còn 3k1/4k hơi kém tí nhưng chấp nhận được với giá sale ntn,Positive,Neutral,Positive -> Neutral,10
483.0,Battery,"Máy đẹp, pin khoẻ, bên hay không thì phải sử dụng một thời gian mới biết được",Positive,Neutral,Positive -> Neutral,10
81.0,Battery,Chất lượng sản phẩm: hiệu năng ở mức tạm được cho các tác vụ hàng ngày. Pin dùng cũng cũng được trong một ngày làm việc nhẹ.,Positive,Neutral,Positive -> Neutral,10
1466.0,Battery,"1.mình thấy nhiều người rw hệ điều hành này không được tối ưu hoá cho mấy 2.không biết do máy hay gì nhưng chơi tốc chiến bật được 120fps nhưng mà toàn bị drop xuống 60-75( mặc dù máy rất mát) và 8/256 cũng thi thoảng bị văng game tốc chiến 3. 5g của máy cảm giác cũng không được mượt mà nên mình chỉ sử dụng 4g 4.máy thì viền nhựa cầm không được sướng tay và dễ bị xước, mặt lưng của máy thì không biết nói sao nhưng cũng tàm tạm 5. pin của máy là 6000 nhưng cảm giác không được trâu cho lắm 6. còn mấy thứ còn lại thì tạm ổn( trừ cam nha =))) đây là những gì sau 1 tháng rưỡi mình trải nghiệm con poco x7 pro này",Neutral,Negative,Neutral -> Negative,8
1385.0,Battery,Pin sử dụng 4 tiếng trung bình. Đóng gói hộp cũ mùi lạ. Ship phí nội thành nhưng chậm như ngoại tỉnh.,Neutral,Negative,Neutral -> Negative,8
1152.0,Battery,"Phiên bản: hàn 1 sim 256gb tính năng:đầy đủ vân tay, face chất lượng:99%, chức năng rất tốt, màn hình có vài vết xước nhỏ, mình đang sử dụng xem pin thế nào sẽ đánh giá sau 
chất liệu: hoàn thiện tốt. 
Điểm trừ: đặt màu xám bản hàn 1 sim 256gb mà cửa hàng giao bản mỹ 2 sim 128gb màu đen. Không tặng kèm ốp lưng dẻo và dán màn hình. Lex Việt Nam giao hàng chậm hơn gh nhanh 1 ngày. Cập nhật sau 5 ngày sử dụng: check pin còn 88-89% cỡ 4250-4300 ma. Với giá như vậy thì chấp nhận được.",Neutral,Negative,Neutral -> Negative,8
285.0,Battery,"pin 5000mah, giá cả tương xứng với cấu hình.",Neutral,Positive,Neutral -> Positive,7
1384.0,Battery,để sử dụng tuần lễ 10 ngày mới biệt có bền hay không? về pin thì không cầm cho lắm.,Negative,Neutral,Negative -> Neutral,4
788.0,Camera,"Em này ngoại hình khá mới luôn, chỉ bị cổng sạc hơi xấu, chữ harman kardon hơi mờ còn lại mới keng. Sạc kèm theo khá tốt, sạc nhanh mà ít nóng hơn hơn cả con 22.5w chính hãng của mình. Loa ẻm thì tốt thôi rồi, âm bass các thứ đập siêu đã, màn hình cũng ổn, mình không chơi game nên chip 2,3 năm còn tốt chán. Cửa hàng khá tốt, giải đáp hỗ trợ khá ổn. Nhưng bị cái cam hơi xấu bù lại cũng nhiều tính năng nên mua nhá",Negative,Positive,Negative -> Positive,29
141.0,Camera,"Màu sắc: đen 
Phân loại: likenew 99% sau hơn 20 ngày sử dụng đây là một số lưu ý. Dành cho mọi người nếu quyết định mua máy này mọi tính năng về mạng xã hội tốt nghe gọi tốt ngày đầu tiên mới mua ấy nó sẽ bị hơi lag nhưng mà sử dụng hơn một tuần nó sẽ tối ưu sẽ mượt. Còn về phần chơi game nếu như chơi liên quân bật mắc nó sẽ hơi ấm nhẹ thôi. Còn về phần pin chơi game nếu mà chơi liên tục thì cũng từ 4 đến 5 tiếng. Còn về phần ngoại hình của máy thì trong thời gian mình sử dụng có một vấn đề nho nhỏ nhưng mà cửa hàng cũng đã hỗ trợ giải quyết xong nhưng mà tính thêm phí của mình nên mình bớt đi một sao còn về phần máy thì mọi người mua về giải trí chụp ảnh tốt không có vấn đề gì hết tốt trong tầm giá so với iphone xs max hoặc iphone 11 thường thì nó đáng giá hơn mọi người mua về nghe gọi mạng xã hội chụp ảnh thì hết bài rồi",Negative,Positive,Negative -> Positive,29
1320.0,Camera,"Chất lượng sản phẩm: nfc không được nhạy, camera tương đối ổn 108mp mà nó lạ lắm 
Đúng với mô tả: redmi note 14, hàng trưng bày 
Tính năng nổi bật: trong tầm giá dễ tiếp cận đến người sử dụng nhân viên fpt nhiệt tình, chu đáo, nhận hàng là hàng trưng bày, không được bóc siu, hàng đã khui hộp. không được thích cho lắm. nếu được nhận hàng full box nữa thì quá tốt. cần rõ ràng hơn về chính sách bảo hành của sản phẩm.",Positive,Negative,Positive -> Negative,28
1300.0,Camera,"Đúng với mô tả: đúng 
Chất lượng sản phẩm: ổn 
Tính năng nổi bật: ổn, cam wide gần bằng 11t lấy hình note 14 pro 4g tạm vậy, con note 14 này săn sale ổn, giá 3tr5 cho combo 6/128, mua cho bố do bố không thích gu cam tròn lồi to đùng như thịnh hành bây giờ, phải chi có con ngang cỡ note 10 pro 4g 1 thời thì hay quá, mà giá lại nó đụng note 14 pro 4g rồi.",Positive,Negative,Positive -> Negative,28
1126.0,Camera,"Đã nhận hàng bọc cẩn thận, nguyên seal, màu điện thoại không đẹp lắm. cam chụp tạm được, sử dụng 1 thời gian xem có ok không rồi phản hồi lại sau",Positive,Negative,Positive -> Negative,28
513.0,Camera,Camera chụp ảnh tốt nhưng chơi game thì lại giật lag nhiều.,Positive,Negative,Positive -> Negative,28
371.0,Camera,"Đã nhận được hàng khung và camera sau xước 4-5 vết chỉ được 90% thôi nhưng cũng ổn với 1 máy có giá 2,1 triệu",Positive,Negative,Positive -> Negative,28
128.0,Camera,pin hơi hẻo sử dụng được hơn 3h một tí màn hình bị ám một vạch nền xanh trắng mới thấy rõ. Camera chụp đẹp nên mua nha mọi người,Positive,Negative,Positive -> Negative,28
1368.0,Camera,Máy ít sước nhưng các cạnh có dấu hiệu bí tháo ra còn về bên trong thì máy chiến game ok pubg mobile max setting. Pubg 2 max setting geshin max setting nhưng bất lợi là nóng máy khi vừa vô game 1 p cần quạt tản nhiệt tốt hơn với hao pin nhanh lq mobile max seting.còn về camera không để ý vì mua về game,Neutral,Negative,Neutral -> Negative,8
689.0,Camera,"Nhóm màu: màu tím than nói chung là tốt chỉ camera sau đã bị mờ máy cũ đã qua sử dụng phải chấp nhận thôi, sẽ tiếp tục ủng hộ lần sau nếu có nhu cầu cảm ơn cửa hàng tặng 5 sao",Neutral,Negative,Neutral -> Negative,8
974.0,Design,Ổn lắm nhé. Lúc mua hơi lo ngại. Nhận máy xong và test 2 ngày thấy quá ok. Pin ổn. Máy có 1 vết ở góc.,Negative,Positive,Negative -> Positive,29
773.0,Design,"Máy chất lượng ạ. Chuẩn hàng 99. Chỉ xước nhẹ vài đường ở mặt lưng và quanh phần lỗ sạc. cửa hàng gửi hàng nhanh, tư vấn nhiệt tình.",Negative,Positive,Negative -> Positive,29
523.0,Design,Đã nhận hàng đầy đủ. Đóng gói cẩn thận. Máy hơi xước viền nhưng nhìn chung khá tốt và hài lòng. Chưa biết độ bền ntn. Hình ảnh mang tính chất nhận xu!,Negative,Positive,Negative -> Positive,29
277.0,Design,"máy dễ sử dụng, pin trâu. chạy nhạc nguyên ngày chưa hết tới 50% pin. không thích cái nhãn dán ở lưng, khó bóc và xấu.",Negative,Positive,Negative -> Positive,29
1152.0,Design,"Phiên bản: hàn 1 sim 256gb tính năng:đầy đủ vân tay, face chất lượng:99%, chức năng rất tốt, màn hình có vài vết xước nhỏ, mình đang sử dụng xem pin thế nào sẽ đánh giá sau 
chất liệu: hoàn thiện tốt. 
Điểm trừ: đặt màu xám bản hàn 1 sim 256gb mà cửa hàng giao bản mỹ 2 sim 128gb màu đen. Không tặng kèm ốp lưng dẻo và dán màn hình. Lex Việt Nam giao hàng chậm hơn gh nhanh 1 ngày. Cập nhật sau 5 ngày sử dụng: check pin còn 88-89% cỡ 4250-4300 ma. Với giá như vậy thì chấp nhận được.",Positive,Negative,Positive -> Negative,28
983.0,Design,"Dung lượng lưu trữ: 128gb 
Nhóm màu: đen trân châu 
Phân loại sản phẩm: 8gb điện thoại bền rớt mấy lần không sao, sài khá mượt, nhưng máy hơi nóng khi lướt những tác vụ nhẹ nhưng mà mỏng nhẹ thì vầy là quá oke",Positive,Negative,Positive -> Negative,28
695.0,Design,"Máy 98% ít xước, đuôi sạc bị mẻ 1 xíu nhưng không ảnh hưởng gì, máy bật 120hz hơi ấm,pin hơi yếu, tốt so với tầm giá",Positive,Negative,Positive -> Negative,28
634.0,Design,"máy y như mới, keng không một vết xước. nhìn kỹ thì viền màn có dấu keo, để lâu trong túi quần thỉnh thoảng có vầng vàng",Positive,Negative,Positive -> Negative,28
1486.0,Display,"Chất lượng sản phẩm: khá tốt 
Đúng với mô tả: có mình thấy máy sử dụng ở mức tốt trong tầm giá, nhưng mà chỉ nên sử dụng 1 trình duyệt ví dụ chỉ call mess và không được làm gì khác vì máy sẽ chậm. máy đôi khi bị chớp màn, trong khoảng 1-2s. dung lượng pin tốt. nếu nhu cầu là 1 con máy rẻ, sử dụng khá tốt thì con này đáp ứng được",Negative,Positive,Negative -> Positive,29
1197.0,Display,Máy khá là đẹp với giá nhà là quá tốt. cảm ơn cửa hàng nhiều. Cái này là cái thứ 2. Đầu tiên mua px6 hơi trầy màn hình nhưng dán cường lực thì cũng được.,Negative,Positive,Negative -> Positive,29
784.0,Display,"Nhóm màu: màu xanh lá cây 
Dung lượng lưu trữ: 128gb dung lượng lưu trữ đủ sử dụng., chất lượng camera ấn tượng!, độ phân giải màn hình tuyệt vời.,",Negative,Positive,Negative -> Positive,29
440.0,Display,"Phân loại sản phẩm: s7 - màn hình đẹp máy ám ảnh mà để màn hình đẹp, chịu luôn:)",Negative,Positive,Negative -> Positive,29
1349.0,Display,Máy bị giả cấu hình pin 3000 mà nó nói 40000 chip cũng không mạnh máy nhanh nóng đây là máy dựng nóng quá nó sập nguồn với nó cái app ẩn hay sao mà để không dự liệu cũng chạy rất nhiều. Màn hình tốt,Positive,Negative,Positive -> Negative,28
1438.0,Display,"Đúng với mô tả: cửa hàng giao không đúng hàng đã nhận được hàng, cửa hàng thay đổi cấu hình của máy, con này là oppo a9 độ phân giải màn hình là 720 ×1600 còn oppo f11 độ phân giải là 1800 × 2340 cho cửa hàng 3 sao",Neutral,Negative,Neutral -> Negative,8
1349.0,General,Máy bị giả cấu hình pin 3000 mà nó nói 40000 chip cũng không mạnh máy nhanh nóng đây là máy dựng nóng quá nó sập nguồn với nó cái app ẩn hay sao mà để không dự liệu cũng chạy rất nhiều. Màn hình tốt,Negative,Positive,Negative -> Positive,29
458.0,General,"Tính năng nổi bật: lock sim:)) 
Chất lượng sản phẩm: ổn tầm 90% 
Đúng với mô tả: đúng thề chứ đặt sốp con này t2 rồi trước là blackshark helo thấy ổn phết nay đặt tiếp cửa hàng làm thất vọng quá cửa hàng cho em con máy màn xước ác thật phần màn hình dưới loa xước thấy thương mà nghỉ lại thì máy cũ nên thôi vẫn 5☆ nha định vote 4☆ rồi đấy",Negative,Positive,Negative -> Positive,29
966.0,General,Uầy cửa hàng gửi cho con máy gần đẹp keng luôn. Nhắn cửa hàng không thích bản docomo cửa hàng gửi cho bản au còn cài sẵn rom qt không app rác luôn. Pin còn 3k1/4k hơi kém tí nhưng chấp nhận được với giá sale ntn,Positive,Neutral,Positive -> Neutral,10
897.0,General,"mua hổm rầy mua, phải sử dụng 1 tuần rồi mới dám đánh giá, máy rất đẹp, đúng như mô tả, chắc chắn sẽ ghé lại cửa hàng vào dịp tới khi mua cái nữa. cho cửa hàng 5 sao",Positive,Neutral,Positive -> Neutral,10
724.0,General,Sau một khoảng thời gian sử dụng thấy ổn. Không bị lỗi hệ thống. Nhưng bị một lỗi là màn hình đốm trắng ( hơi mờ ). Pin hơn 2400. Giá 570k cũng được.,Positive,Neutral,Positive -> Neutral,10
99.0,General,Đúng với mô tả: đúng máy còn rất mới độ bền thì chưa biết ra sao.,Positive,Neutral,Positive -> Neutral,10
527.0,General,"Chất lượng sản phẩm: bình thường 
Đúng với mô tả: không mới mua về chưa bao lâu pin phù, dở",Neutral,Negative,Neutral -> Negative,8
1482.0,General,"Hàng chính hãng của nhà sản xuất thì khỏi phải chê rồi, phải dùng hết chức năng mới biết hàng có bị lỗi gì không",Neutral,Positive,Neutral -> Positive,7
1448.0,General,Phân loại sản phẩm: 8/128 đen hhhgg,Neutral,Positive,Neutral -> Positive,7
1248.0,General,"Sản phẩm đúng với mô tả, bê ngoài 99%, máy chức năng đây đủ. Bộ phụ kiện tặng có đầy đủ.",Neutral,Positive,Neutral -> Positive,7
1175.0,General,"Màu sắc: bạc 
Phân loại: fullbox mới nhận hàng, Máy cài sẵn mimui13",Neutral,Positive,Neutral -> Positive,7
800.0,General,Tới hiện tại chạy vẫn ổn chưa có vấn đề,Neutral,Positive,Neutral -> Positive,7
732.0,General,không biết hàng onl với hàng ngoài store có giống nhau không mà mua onl sử dụng hôm trước hôm sau nè các bác:))) để điện thoại trong túi quần lôi ra cái như này ạ. Không hề làm rơi vì vừa mua sử dụng chưa được 1 ngày giữ như gì luôn. Như hàng mã vậy trờiiii,Negative,Neutral,Negative -> Neutral,4
881.0,Packaging,"Màu sắc: hồng ram/bộ nhớ: ram 8g/128g giao nhầm màu nhưng màu này cũng đẹp máy còn mới, trơn tru loa thoại nhỏ cửa hàng hỗ trợ nhiệt tình",Negative,Positive,Negative -> Positive,29
779.0,Packaging,giao hàng nhanh. đóng gói ẩu không có chống sốp. chất lượng hàng phù hợp giá tiền.,Negative,Positive,Negative -> Positive,29
1338.0,Packaging,"Chất lượng sản phẩm: apple iphone 16 pro max chất lượng tuyệt vời 
Tính năng nổi bật: tính năng nổi bật thì khỏi phải bàn 
Đúng với mô tả: đúng với mô tả sản phẩm giao đến sản phẩm hộp ngoài bị móp méo không có nguyên vẹn đẹp, và khui mở ra thì bọc kĩ nhưng hộp iphone nó cũng móp méo. nên cũng sợ khi mở ra điện thoại bị trầy xước cấn móp",Positive,Negative,Positive -> Negative,28
1126.0,Packaging,"Đã nhận hàng bọc cẩn thận, nguyên seal, màu điện thoại không đẹp lắm. cam chụp tạm được, sử dụng 1 thời gian xem có ok không rồi phản hồi lại sau",Positive,Negative,Positive -> Negative,28
910.0,Packaging,"Hàng oke, đóng gói ổn nhưng thà như ở bình thuận thì xuất từ kho bình thuận sẽ mau hơn, chứ tận long an thì hơi bất tiện. Mong hệ thống ghi nhận ý kiến hơn",Positive,Negative,Positive -> Negative,28
746.0,Packaging,Chất lượng sản phẩm phần mềm nhiều quảng cáo trải nghiệm tệ. Đúng với mô tả không thông báo có quảng cáo sẵn. Tính năng nổi bật hiệu năng chịu ảnh hưởng quảng cáo lag. Review máy tích hợp app rác pop up quảng cáo làm chậm thiết bị. Pin tụt nhanh hơn bình thường. Đóng gói tốt nhưng phụ kiện thiếu. Chăm sóc khách hàng lúng túng không rõ ràng chính sách đổi trả,Positive,Negative,Positive -> Negative,28
590.0,Packaging,Mỗi tội phải chờ lâu.Từ Nghệ An ra Hà Nội mà cả tuần mới nhận được.Khâu đóng gói và gửi đi cũng lâu.Khâu vận chuyển và giao hàng cũng rất lâu.Khi nhận hàng không được đồng kiểm cũng khá căng và cân não.Chấp nhận xuống tiền nhưng nhờ anh giao hàng quay video để có gì còn khiếu nại được.May quá cửa hàng đóng hàng ok luôn.cảm ơn cửa hàng nhiều.,Positive,Negative,Positive -> Negative,28
380.0,Packaging,Review sau vài cập nhật máy vẫn còn lỗi app hay lag. Pin vẫn ổn nhưng hiệu năng nhiều khi treo. Đóng gói tốt nhưng vận chuyển lâu. Chăm sóc khách hàng mất thời gian không chịu trách nhiệm rõ ràng,Positive,Negative,Positive -> Negative,28
83.0,Packaging,hàng nguyên seal. nhưng yêu cầu xuất hoá đơn lại thì nhất quyết không xuất. 5 sao sản phẩm. 1 sao hỗ trợ.,Positive,Negative,Positive -> Negative,28
276.0,Packaging,"Hàng được giao tới, phụ kiện bên trong đủ.",Positive,Neutral,Positive -> Neutral,10
1486.0,Performance,"Chất lượng sản phẩm: khá tốt 
Đúng với mô tả: có mình thấy máy sử dụng ở mức tốt trong tầm giá, nhưng mà chỉ nên sử dụng 1 trình duyệt ví dụ chỉ call mess và không được làm gì khác vì máy sẽ chậm. máy đôi khi bị chớp màn, trong khoảng 1-2s. dung lượng pin tốt. nếu nhu cầu là 1 con máy rẻ, sử dụng khá tốt thì con này đáp ứng được",Negative,Positive,Negative -> Positive,29
1365.0,Performance,"mua máy phải đổi lần 2 mới tạm ổn, máy chạy chậm lắm mặc dù cấu hình cao (như ảo ấy), lỗ sạc là sử dụng đầu sạc cũ trước cả đầu c á, sạc pin vào rất lâu. thôi sử dụng tạm để học tập. cửa hàng thì phục vụ cực kì nhiệt tình, giao hàng cũng nhanh nhẹn, gói hàng cũng kỹ, có phiếu bảo hành.",Negative,Positive,Negative -> Positive,29
1034.0,Performance,"Lần đầu tiên mua điện thoại trên sọp pe, mình check giá ngoài tgdđ thì thấy tầm 2tr9, lên live săn chỉ có 2.024.000🐟, khi nhận cũng hồi hộp lắm về mở ra xem thì thấy đúng hàng new đàng hoàng đầy đủ phụ kiện, cửa hàng có gói chống sốc niêm phong rất uy tín, do mua làm điện thoại phụ nên tầm 2 củ là đủ sử dụng, tuy có hơi lag khi vào ứng dụng nhưng giá này không đòi hỏi với gì thêm vì dung lượng tận 128gb, lướt bình thường nhắn mess tốt hợp cho phụ huynh sử dụng, lúc call video có hơi lag với không nghe rõ",Negative,Positive,Negative -> Positive,29
193.0,Performance,Lướt mạng xã hội tốt. Còn game độ phân giải thấp thì tốt độ phân giải cao như liên quân thì không được nhé,Negative,Positive,Negative -> Positive,29
141.0,Performance,"Màu sắc: đen 
Phân loại: likenew 99% sau hơn 20 ngày sử dụng đây là một số lưu ý. Dành cho mọi người nếu quyết định mua máy này mọi tính năng về mạng xã hội tốt nghe gọi tốt ngày đầu tiên mới mua ấy nó sẽ bị hơi lag nhưng mà sử dụng hơn một tuần nó sẽ tối ưu sẽ mượt. Còn về phần chơi game nếu như chơi liên quân bật mắc nó sẽ hơi ấm nhẹ thôi. Còn về phần pin chơi game nếu mà chơi liên tục thì cũng từ 4 đến 5 tiếng. Còn về phần ngoại hình của máy thì trong thời gian mình sử dụng có một vấn đề nho nhỏ nhưng mà cửa hàng cũng đã hỗ trợ giải quyết xong nhưng mà tính thêm phí của mình nên mình bớt đi một sao còn về phần máy thì mọi người mua về giải trí chụp ảnh tốt không có vấn đề gì hết tốt trong tầm giá so với iphone xs max hoặc iphone 11 thường thì nó đáng giá hơn mọi người mua về nghe gọi mạng xã hội chụp ảnh thì hết bài rồi",Negative,Positive,Negative -> Positive,29
1459.0,Performance,Chất lượng sản phẩm: không được vui sản phẩm: sản phẩm không như mô tả mình không hi vọng ở máy 1 triệu mặc dù máy giất mượt và tạm tạm nhưng cửa hàng lại lừa mình sản phẩm 256 gb sau khi mình kiểm tra thấy mấy đã. kick 256 gb còn ram tht chỉ có 128 gb mình hi vọng cửa hàng đưa ra lời giải thích,Positive,Negative,Positive -> Negative,28
15.0,Performance,"pin chai rất nhanh. chỉ còn 85% sau 5 tháng. tuổi thọ pin ngắn. pin tụt quá nhanh, dùng chưa được 5 tháng đã thấy kém hẳn rồi. chăm sóc khách hàng bảo là do cách dùng. hiệu năng tạm được",Positive,Negative,Positive -> Negative,28
81.0,Performance,Chất lượng sản phẩm: hiệu năng ở mức tạm được cho các tác vụ hàng ngày. Pin dùng cũng cũng được trong một ngày làm việc nhẹ.,Positive,Neutral,Positive -> Neutral,10
195.0,Price,"Giá tại cửa hàng mình mua làm mình hơi ngộp, mình cảm giác như bị “chịu giá” hơn là được giá tốt.",Negative,Positive,Negative -> Positive,29
165.0,Price,"Điện thoại dùng ngon, săn sale nhưng giá chưa ổn lắm, tuy nhiên giao nhanh hơn dự kiến. Ảnh và video mang tính nhận xu",Negative,Positive,Negative -> Positive,29
1297.0,Price,"Chất lượng sản phẩm: kém 
Đúng với mô tả: không 
Tính năng nổi bật: không lên với giá tiền này thì mình không đòi hỏi nhiều 😗😆😆 mua rẻ thì cũng hên sui xác định bật được 15 phút xong khỏi lên luôn sạc pin không lên nguồn luôn cửa hàng nên làm ăn lại mình cũng không yêu cầu hoàn trả nhưng làm ăn không có tâm hihi mọi người cân nhắc trước khi mua",Positive,Negative,Positive -> Negative,28
289.0,Price,"Chất lượng sản phẩm: tệ 
Đúng với mô tả: quá tệ 
Tính năng nổi bật: không điện thoại sạc pin được thì ai nói gì, rẻ nên không đòi hỏi, đằng này tặng sạc hư thà đừng tặng, điện thoại thì sạc không dô pin, bán kiểu không có tâm, cũng dẹp sớm à.",Positive,Negative,Positive -> Negative,28
124.0,Price,"giao hàng nhanh, có mỗi máy không, không có phụ kiện gì kèm theo, sử dụng được trong tầm giá. tiền nào của ấy 😅",Positive,Neutral,Positive -> Neutral,10
1014.0,Price,"Màu sắc: đen 8g/128g máy có vẻ đang thay lưng hơi ộp ẹp, lưng hàng lô nên hơi lởm, nhưng giá cũng tạm",Neutral,Positive,Neutral -> Positive,7
1480.0,Shipping,"Đúng với mô tả: đúng mô tả. 
Tính năng nổi bật: rẻ tốt. mua rất nhiều điện thoại.mua 2 cái 2 tiệm mà tiệm này giao hành không có hộp mất thẩm mỹ quá.còn máy thì chưa rõ do mua sài thấy tốt nên mua thủ chỗ này ship về thấy không thích cho lắm",Negative,Positive,Negative -> Positive,29
952.0,Shipping,"Tính năng nổi bật: đóng gói cẩn thận 
Đúng với mô tả: đúng 
Tài xế giao hàng chụp hình cccd của tôi trong khi quy trình chỉ cần xuất trình cccd thôi.",Negative,Positive,Negative -> Positive,29
771.0,Shipping,"Chuẩn bị nhanh, shopee giao hàng chậm. Đóng gói sản phẩm tốt, đủ số lượng. Sản phẩm đúng thông tin mô tả. Hài lòng.",Negative,Positive,Negative -> Positive,29
589.0,Shipping,Đóng gói cẩn thận. Giao hàng chưa nhanh lắm. Sản phẩm đúng mô tả. Chưa biết có tốt như quảng cáo không. Được giảm giá nên giá tốt,Negative,Positive,Negative -> Positive,29
1215.0,Shipping,"Phân loại sản phẩm: máy likenew 99% lần đầu mua hàng giá trị cao cũng hơi rén nhưng nhận hàng tốt, nguyên seal, máy mới toanh, đẹp. Hết màu xanh nên cửa hàng gửi bù cho full box màu đen, nhận hàng siêu ưng, giao vào tphcm tầm 4 ngày đúng dự kiến.",Positive,Negative,Positive -> Negative,28
1050.0,Shipping,"Nhóm màu: đen 
Dung lượng lưu trữ: 128gb mua điện thoại qua ứng dụng lazada lần đầu nhưng rất hài lòng về chất lượng. Thời gian giao hàng hơi lâu nhưng cũng xứng đáng để chờ. Nên mua nhé mọi người👍",Positive,Negative,Positive -> Negative,28
656.0,Shop_Service,"Nhóm màu: đen hàng nhận đúng yêu cầu, oke. hàng 99% nên chỉ có máy và sạc. nói chung là ổn trong tầm giá. bảo hành 6 tháng mà không bảo hành nguồn, với màn hình là hơi lo.. đang test máy xem thế nào.",Negative,Positive,Negative -> Positive,29
13.0,Shop_Service,"Lần đầu mua điện thoại trên đây săn được voucher 3 triệu, giảm còn 23tr550k. cửa hàng gói hàng chắc chắn, tem niêm phong rõ ràng, có cái cửa hàng trả lời tin nhắn khách hơi chậm nhớ khắc phục lại nhé. '-'",Negative,Positive,Negative -> Positive,29
728.0,Shop_Service,"Phiên bản: bản 2 sim 
Dung lượng lưu trữ: 256gb mình đặt máy 256gb. Cửa hàng gửi máy chỉ có 128gb. Yêu cầu cửa hàng đổi máy gấp. Sau khi làm việc với cửa hàng mình tốt rồi nhé",Positive,Negative,Positive -> Negative,28
126.0,Shop_Service,"Sản phẩm: sản phẩm không như mô tả làm ăn vớ vẩn. Hàng giao không đúng mô tả. Có video mở hàng đầy đủ. Có liên hệ cửa hàng ngay sau khi mở gói hàng. Cửa hàng đồng ý cho trả hàng. Có quay video đóng gói hàng. Chờ lâu không thấy shiper lấy hàng. Đến khi có đơn hàng mới, yêu cầu shiper mang hàng về thì không mang",Positive,Negative,Positive -> Negative,28
745.0,Shop_Service,"điện thoại mới, chế độ bảo hành 12th. qua thời gian sử dụng điện thoại bắt sóng yếu nghe lúc được lúc không. bắt sóng yếu siều. thất vọng tràn trề.",Neutral,Negative,Neutral -> Negative,8
1305.0,Shop_Service,Sản phẩm đóng gói cẩn thận đúng hàng chính hãng nhưng không có đơn vị nhập khẩu không biết bảo hành sao,Negative,Neutral,Negative -> Neutral,4
175.0,Shop_Service,chăm sóc khách hàng đưa ra hướng dẫn chung chung,Negative,Neutral,Negative -> Neutral,4
