sentence,aspect,true_sentiment,predicted_sentiment,confusion_type
Tầm 2 triệu mà được đập hộp là ngon nhất chứ đừng mua máy xách tay (máy dựng) màn lô sử dụng được vài tháng lại hỏng phí tiền.,Price,negative,positive,negative → positive
"Đúng với mô tả: Hmmmm 
Chất lượng sản phẩm: Tốt
Lúc order thì hết màu tím, nên đành phải chọn màu đen. Ngủ dậy sáng hôm sau thì đã có hàng mới màu tím, nhắn tin hỏi cửa hàng có đổi không thì được báo là sẽ note cho bên kho để họ đổi lại đơn. Mà khi nhận vẫn là màu đen, cũng không có confirm trước đó là đổi thành công hay như nào. Tai nghe được tặng thì cũng không có gì đánh giá, có cũng được mà không có cũng chả sao, vì không kì vọng gì nhiều hàng tặng kèm. Còn lại điện thoại cũng tốt, mượt và giá rẻ. Phải tốn 1 chút thao tác để loại bỏ quảng cáo trên điện thoại tàu.",Price,positive,neutral,positive → neutral
Nhóm màu: Đen cùng tầm giá thì oppo hơi cao. Sử dụng ổn. Nói chung là cũng được,Price,negative,positive,negative → positive
"Tính năng nổi bật: Máy đóng góp kĩ sản phẩm đúng mô tả nha mọi người. Cửa hàng rất nhiệt tình, uy tính ạ. Mình mua được 17xx.",Price,neutral,positive,neutral → positive
"Giao hành nhanh, máy chạy tốt, hàng gói kỹ, nói chung là sử dụng được trong tâm giá, mẫu mã hơi sến thôi",Price,positive,neutral,positive → neutral
Thấy máy sử dụng tốt. Nhưng không có cho ốp thậm chí không cho 1 miếng fim dán chống xước màn. Chiếu cố cho 5 sao,General,positive,negative,positive → negative
"Tính năng nổi bật: Tốt 
Đúng với mô tả: Bộ nhớ màu sắc đúng, vỏ cũ 89% 
Chất lượng sản phẩm: 95% máy tạm ổn, săn được mã -200k",General,positive,negative,positive → negative
Chất lượng: Cũng cực ổn để làm máy phụ nha. Camera đốm nhẹ,General,positive,negative,positive → negative
"Chất lượng sản phẩm: Sử dụng lâu mới biết 
Tính năng nổi bật: Đẹp 
Đúng với mô tả: Đúng mô tả giao hàng nhanh. 2 ngày là đến. Mở ra thấy tốt luôn",General,neutral,positive,neutral → positive
"Tên sản phẩm: Xiaomi mi 11 lite 
Nhóm màu: Đen hình thức còn đẹp. Máy đã mở nắp lưng chứ không đúng hàng chưng bày. Góc chó trầy nhẹ. Chất lượng ban đầu thấy được còn sau chưa biết.",General,neutral,negative,neutral → negative
Chất lượng sản phẩm chất lượng kém so với giá. Đúng với mô tả thiếu 1 số phụ kiện. Tính năng nổi bật camera màu lệch autofocus chậm. Review ảnh chụp bị ám vàng autofocus thường fail. Hiệu năng lướt web tốt nhưng đa nhiệm kém. Đóng gói thiếu foam bảo vệ ship bên vận chuyển làm móp. Chăm sóc khách hàng trả lời bằng mẫu không cá nhân hoá,Performance,neutral,negative,neutral → negative
"100% chơi 3 ván game tốc chiến setting max, không bật tiết kiệm pin, trung bình 1 ván 25p còn 31% (nhớ sử dụng sò lạnh, con này nóng điên) loa nghe hay nhưng hơi lệch không biết chỉnh ở đâu để mò thử, đang sử dụng con pova3 chuyển qua con này chơi nhạy với mượt quá không quen tay 😅, do là mua chỉ mục đích chơi game ban đêm nên là tầm giá 1tr6 chất lượng rất ổn với 1 máy cũ như này, không biết bảo hành nếu có sự cố cửa hàng hỗ trợ ra sao nhưng trước mắt 10₫",Performance,positive,neutral,positive → neutral
"Đóng gói hàng chắc chắn, điện thoại giá này thì sử dụng tương đối thôi, cũng không mượt lắm so với mấy con sách tay trong tầm tiền được. Máy chính hãng mua về cho phụ huynh sài thấy cũng ổn.",Performance,negative,positive,negative → positive
"Đúng với mô tả: Sản phẩm hoàn thiện, mới 100% 
Tính năng nổi bật: Thiết kế đẹp, gọn nhẹ! 
Chất lượng sản phẩm: Không phù hợp để chơi game! thiết kế đẹp ấn tượng, rất phù hợp để làm máy phụ nghe gọi, lướt tiktok, facebook. Nhưng không sử dụng để chơi game rất lag, ai mua chơi game thì cần phải xem xét kỹ, đừng nghe các youtuber review!!!",Performance,negative,positive,negative → positive
"Giao hàng nhanh chóng, chất lượng sản phẩm tuyệt vời, hàng gói cẩn trọng, sẽ ủng hộ cửa hàng máy hơi chậm 🤣",Performance,negative,positive,negative → positive
"Pin siêu trâu, loa siêu to, honor x7c này có chức năng đập đá nữa vì độ bền rất cao nha anh em, rất thích hợp cho người lớn tuổi sử dụng. Tuy nhiên anh em muốn màn hình đẹp rõ nét hơn thì nên nâng lên x8b hoặc x9c nha. Honor x7c màu nào cũng đẹp. Cảm ơn, honor!",Display,negative,positive,negative → positive
màn hình lưu ảnh nhẹ. Máy cũ nhưng chạy được và cửa hàng có bảo hành nên yên tâm sử dụng,Display,negative,positive,negative → positive
Chất lượng phù hợp với giá tiền. Loa bé. Mở full âm hơi rè. Màn 120hz nhưng vẫn không mượt. Nói chung là mình không sử dụng. 5 sao Vì hình thức đẹp cửa hàng vui vẻ 😂,Display,neutral,negative,neutral → negative
"Chất lượng sản phẩm: Quá êm 
Tính năng nổi bật: Loa hay xuất sắc 
Đúng với mô tả: Chính xác máy quá ngon, mọi tính năng hoàn hảo. Máy 98% nên có cấn viền nhẹ, màn hình không 1 vết xước, có ám màu nhẹ 2 đốm nhỏ nhưng không ảnh hưởng hiển thị. Tóm lại là quá ngon với giá 4,5tr",Display,negative,positive,negative → positive
"Tính năng nổi bật: Nghe gọi chọi 
Đúng với mô tả: Đúng màn hình lớn, nhạc chưa được rõ. Chưa biết pin sử dụng được bao lâu",Display,positive,neutral,positive → neutral
"Sản phẩm này có thiết kế đơn giản nhưng tinh tế, phù hợp với nhiều đối tượng người dùng. Chất lượng khá bền, sử dụng lâu dài mà không bị hỏng hóc nhanh. Giá thành hợp lý so với tính năng mang lại. Tuy nhiên, bao bì chưa thật sự nổi bật, nếu cải thiện hơn sẽ tạo ấn tượng mạnh mẽ hơn với khách hàng.",Packaging,negative,positive,negative → positive
Chuẩn bị hàng và giao hàng quá lâu. Mình đặt từ 28/12 đến 10/1 mới đến tay trong khi mình ngay ngoại thành hn. Bọc hàng khá kĩ nhưng hộp của ip vẫn bị df 1 góc như hình. Chất lượng sản phẩm phải sử dụng mới đgia được. Giá rẻ.,Packaging,positive,negative,positive → negative
"Nhóm màu: Màu đen bóng khả năng lưu trữ: 128gb đặt màu đen giao màu xám, rất mới. Pin xạc 100%lúc 20h đến 5h sáng còn 92% dù không sử dụng gì. Tụt pin hơi nhanh. Rất hài lòng. Sạc theo hộp sạc rất nhanh. Hy vọng máy bền. Tặng cửa hàng 5 sao.!",Packaging,negative,positive,negative → positive
"Nhóm màu: Đen 
Dung lượng lưu trữ: 16gb đặt đen giao trắng, Sản phẩm dùng được là tốt rồi",Packaging,negative,positive,negative → positive
"Hàng khá tốt. Đã sử dụng được một thời gian chưa thấy hiện tượng gì. Chỉ có điều cửa hàng gói điện thoại trong giấy ni lon chống sốc,chứ không phải trong hộp nguyên. Hình ảnh chỉ để lấy xu",Packaging,negative,positive,negative → positive
"Chưa bao giờ nghĩ là sẽ mua 1 thứ giá trị như vậy trên shopee. Nhưng ho vọng là điện thoại không có vấn đề gì, trộm vía đơn hàng không có vấn đề, nhưng màu đen không đẹp lắm 😅 cửa hàng giao nhanh thần tốc nha hix, mua bị đắt hơn ngày sale gần 1 củ, biết thế đợi sale rồi mua",Shipping,positive,negative,positive → negative
Phiên bản: Ram 4/64gb hàng tốt đã khui để cài tiếng việt. Còn full. Giao hàng hơi lâu nhưng có là được. Zzzzzzzzzzzzzz,Shipping,neutral,negative,neutral → negative
"Đã nhận được hàng. Cửa hàng có hàng giao nhanh nhưng đội vận chuyển làm vận chuyển chậm quá, mãi mới nhận được. Máy rất đẹp, nhanh, mượt. Quá tuyệt vời. Cho cửa hàng 100sao.",Shipping,negative,positive,negative → positive
Dùng 1 tháng mới dám đánh giá. Lần đầu mua điện thoại qua mạng. Bà giao hàng còn rén cứ hỏi có chắc chắn không. Sợ giao hàng đểu. Nhưng clickbuy làm ăn uy tin lắm. Gửi hàng nhanh đúng đủ. Đóng gói cẩn thận. Điện thoại xiaomi thì cũng uy tín rồi. Bá trong tầm giá. À mà quất được mã hơn củ nên còn hơn 3củ thôi. Mua đi mọi người,Shipping,neutral,positive,neutral → positive
"Shipping cực chậm. Giao hàng muộn 3 ngày. Vận chuyển quá lâu. Đã hẹn giao ngày x nhưng tận ngày x+3 mới nhận được. Chăm sóc khách hàng rất khó liên lạc, gọi không nghe máy",Shipping,positive,negative,positive → negative
6.876.500 vnd ! Quá ưng luôn. Tuy pin không trâu như kỳ vọng nhưng sạc thì siêu nhanh. Teo mình nghĩ thì con chíp này hiệu năng của nó rất cao nên pin như vậy là dễ hiểu. Ối giời ơi mướt mườn mượt.,Battery,positive,neutral,positive → neutral
"Phù hợp sử dụng làm máy phụ. Os sạch, ít app rác, đáp ứng tốt nhu cầu cơ bản (zalo, Facebook, youtube, web), màn hình ổn và pin tốt. Máy to hơn kì vọng nhưng ưu tiên pin nên chấp nhận, cầm cũng nhẹ nhàng. Ngoài ra thì cũng không nên kì vọng nhiều, chip hơi yếu, bật cam thôi cũng lag mà chụp hình thì chỉ là cho đủ tính năng.",Battery,positive,negative,positive → negative
"Camera selfie rất tệ. Da bị làm mịn quá mức. Làm đẹp ảo, mất chi tiết. Chụp selfie như bôi kem, không thấy rõ chi tiết da, pin dùng được nhưng hiệu năng không được mượt",Battery,positive,negative,positive → negative
"Nhận máy và test rất bất ngờ khi mới sạc có 5 lần, pin còn hơn 95%. Như mua máy mới luôn rồi còn gì 😂",Battery,positive,negative,positive → negative
"Điện thoại sử dụng được, pin sử dụng tạm ổn, bắt sóng hơi kém chút. Loa to nghe rõ. Giao hàng nhanh",Battery,positive,negative,positive → negative
"Chất lượng máy tốt, không bị xước gì nhiều, mà mình có hỏi cửa hàng trước lúc mua xem pin em này đã sạc được bao nhiêu thì cửa hàng bảo sạc khoảng vài lần, mình kiểm tra thì thấy sạc được 160 lần :))) -1 uy tín nhé, cường lực giao tới cũng vỡ ạ. Máy thì sử dụng hơi ấm, cam thì tốt",Camera,positive,negative,positive → negative
"Giao hàng lâu quá, sản phẩm thì sử dụng hơn 10 ngày nay thấy khá ổn, pin lâu, chụp hình tạm ổn, màn hình hiển thị đôi khi mờ icon mờ chữ, chỉ tiếc không có 5g và nfc",Camera,positive,negative,positive → negative
"Màu sắc: Hồng đỏ: 
Dung lượng lưu trữ: 128gb máy đúng mô tả. Mỗi cái hay tự khởi động lại chất lượng camera tệ. Giao hàng thân thiện.",Camera,negative,positive,negative → positive
"Thời lượng pin ngon. Chất lượng camera hơi tối, không nét lắm. Hiệu suất cũng tốt",Camera,negative,positive,negative → positive
"Thua máy cũ quảng cáo quá đà tất cả đều tệ. Thực sự hối hận khi mua, hiệu năng chậm, camera bình thường, pin yếu. Không đáng một xu.",Camera,neutral,negative,neutral → negative
Tiền nào của nấy nhé. Suy nghĩ kỹ khi mua. Nghịch 1 lúc máy ấm lên tý là nó cứ bị vang lung tung. Cho dù mình không làm gì. Ngoại hình thì như mới. Nhưng máy thì quá lag.,Design,positive,negative,positive → negative
"Điện thoại chất lượng tạm ổn ạ, chủ yếu nghe và gọi thì tốt còn những chức năng khác thì coi là cho có thôi không sài được. Máy cầm nhẹ hều, 100% hàng tung của rồi. Mọi người cân nhắc khi mua kẻo thất vọng ạ, xun lỗi hình ảnh và video không liên quan",Design,neutral,negative,neutral → negative
Ngoại hình: Máy cũ trầy xước nhẹ rất là ô sa kê.. Cám ơn cửa hàng nhiều nha...,Design,positive,negative,positive → negative
Cửa hàng giao hàng đúng hẹn đóng gói cẩn thận chắc chắn máy có chày xước nhẹ xài ok,Design,negative,positive,negative → positive
Thật sự khá là bất ngờ vs máy 95 của cửa hàng Màn trc và sau đều không xước Khung viền thì hơi tróc xíu Tuy mất áp nhưng được cái màn không hề bị ám như cửa hàng đã nói trc đó Pin còn dùng khá tốt Test thêm 1 khoảng thời gian nữa xem sao,Design,negative,positive,negative → positive
"Pin tụt quá nhanh. Không được như quảng cáo. Pin kém. Mới dùng 2-3h đã hết pin rồi, không đủ nhu cầu. Chăm sóc khách hàng khó liên lạc. Shipping thì đúng hẹn",Shop_Service,negative,positive,negative → positive
"Chỉ nghe, gọi thôi, sử dụng 30 phút là có máy nóng, camera rất mờ, có thể đã hỏng hoặc đã đổi. Mùa về cho bea lớp 9 bé chê, mình nghỉ trả lại cho cửa hàng thì thấy cũng phiền, để mình yêu cầu cửa hàng đổi cho mình sem có được không. Niếu được thì tốt mình sẽ sữa lại đánh giá.",Shop_Service,neutral,negative,neutral → negative
"Nhóm màu: Đen hàng nhận đúng yêu cầu, oke. Hàng 99% nên chỉ có máy và sạc. Nói chung là ổn trong tầm giá. Bảo hành 6 tháng mà không bảo hành nguồn, với màn hình là hơi lo.. Đang test máy xem thế nào.",Shop_Service,negative,positive,negative → positive
"Cửa hàng giao sản phẩm đã bóc seal nhưng không sao, đủ bảo hành là được",Shop_Service,positive,neutral,positive → neutral
"Chất lượng sản phẩm: Như mới 
Tính năng nổi bật: Màu đen máy tốt, tuy nhiên sử dụng được 16 ngày thì màn hỏng, hết bảo hành thì mình chấp nhận, cách giải quyết của cửa hàng cũng hơp lý tuy nhiên cửa hàng nên lưu ý khi giao máy cho khách hoặc dưới mô tả điện thoại.",Shop_Service,neutral,negative,neutral → negative
